"","500","1000","2000","5000","10000","20000"
"6202_lkflag","0.0097(0.0074)","0.0123(0.0072)","0.0127(0.0048)","0.0117(0.0034)","0.014(0.0032)","0.0145(0.0012)"
"6211_rbf","0.0134(0.0078)","0.0129(0.0106)","0.0131(0.0034)","0.012(0.0018)","0.0125(0.0019)","0.0115(0.0017)"
"6211_lkflag","0.007(0.0061)","0.0105(0.0071)","0.0102(0.0065)","0.0102(0.002)","0.0111(0.0017)","0.0105(0.002)"
"6212_rbf","0.0227(0.0153)","0.0179(0.0042)","0.0172(0.0045)","0.0162(0.0027)","0.0142(0.0022)","0.0135(0.0013)"
"6212_lkflag","0.0068(0.0038)","0.012(0.0035)","0.0106(0.0038)","0.0105(0.002)","0.0105(0.0018)","0.0113(0.0012)"
"6221_rbf","0.0101(0.0168)","0.0089(0.0031)","0.0122(0.0052)","0.0092(0.0011)","0.012(0.0018)","0.0109(0.0012)"
"6221_lkflag","0.0095(0.0109)","0.0112(0.007)","0.013(0.0049)","0.0108(0.0022)","0.013(0.0015)","0.0105(9e-04)"
"6222_rbf","0.0145(0.0181)","0.0132(0.0106)","0.0096(0.0042)","0.0101(0.0032)","0.0083(8e-04)","0.0087(0.001)"
"6222_lkflag","0.0076(0.0089)","0.0087(0.0081)","0.0082(0.0039)","0.0087(0.002)","0.0077(0.0014)","0.0089(0.0011)"
"6301_rbf","0.0172(0.015)","0.0285(0.0108)","0.0234(0.0091)","0.0214(0.0036)","0.0239(0.0027)","0.0218(0.0029)"
"6301_lkflag","0.0188(0.015)","0.0228(0.0117)","0.0231(0.0123)","0.0231(0.0044)","0.0252(0.0037)","0.0243(0.0037)"
"6302_rbf","0.0139(0.0102)","0.0138(0.0062)","0.0149(0.0028)","0.0144(0.0037)","0.0144(0.0021)","0.0155(0.0019)"
"6302_lkflag","0.0112(0.0081)","0.0132(0.0058)","0.0135(0.0027)","0.0131(0.0038)","0.0141(0.0025)","0.0147(0.0018)"
"6401_rbf","0.0143(0.0099)","0.0221(0.0145)","0.0273(0.009)","0.0206(0.005)","0.0194(0.0027)","0.0194(0.0018)"
"6401_lkflag","0.0097(0.0048)","0.0168(0.0092)","0.0139(0.0059)","0.0109(0.0039)","0.0114(0.0017)","0.0124(0.0027)"
"6402_rbf","0.0145(0.0132)","0.012(0.0093)","0.0096(0.0042)","0.0103(0.0018)","0.0101(0.0025)","0.0115(0.0027)"
"6402_lkflag","0.0111(0.0104)","0.0079(0.0081)","0.0106(0.0047)","0.013(0.0058)","0.011(0.0022)","0.0132(0.0028)"
"7001_rbf","0.069(0.0833)","0.2586(0.2127)","0.1788(0.1003)","0.1506(0.0787)","0.1542(0.0507)","0.1653(0.0197)"
"7001_lkflag","0.0591(0.0573)","0.1676(0.1461)","0.1535(0.0948)","0.1389(0.055)","0.1425(0.0398)","0.1587(0.0222)"
"7002_rbf","0.0433(0.0332)","0.1095(0.0461)","0.0745(0.0291)","0.0688(0.0193)","0.0846(0.0251)","0.0817(0.0126)"
"7002_lkflag","0.0161(0.0158)","0.0635(0.0319)","0.0512(0.0238)","0.0554(0.0095)","0.0706(0.024)","0.068(0.009)"
"7011_rbf","0.1063(0.1056)","0.1867(0.1717)","0.1263(0.0519)","0.1469(0.0585)","0.1551(0.0268)","0.1467(0.0237)"
"7011_lkflag","0.0732(0.0494)","0.1815(0.2109)","0.1481(0.0442)","0.1692(0.0619)","0.1803(0.0392)","0.1781(0.0246)"
"7012_rbf","0.0867(0.0684)","0.0966(0.0496)","0.0939(0.0414)","0.072(0.0166)","0.073(0.0127)","0.0701(0.0137)"
"7012_lkflag","0.0326(0.018)","0.0519(0.027)","0.0523(0.0165)","0.0549(0.014)","0.057(0.0112)","0.0567(0.0092)"
"7021_rbf","0.3911(0.5709)","0.4209(0.5821)","0.4132(0.4502)","1.314(0.5802)","1.4439(0.4968)","1.5805(0.2975)"
"7021_lkflag","0.2792(0.3302)","0.2511(0.3977)","0.3873(0.4349)","0.9497(0.4315)","1.2261(0.3706)","1.2912(0.2843)"
"7022_rbf","0.0379(0.0422)","0.0942(0.1371)","0.0572(0.0361)","0.0649(0.0614)","0.0543(0.0193)","0.0608(0.0198)"
"7022_lkflag","0.0044(0.0079)","0.0653(0.0663)","0.0444(0.0248)","0.0568(0.0469)","0.0636(0.0349)","0.0763(0.0173)"
"7101_rbf","0.7358(0.8018)","0.3115(0.2257)","0.3703(0.2753)","0.4718(0.1618)","0.4638(0.1614)","0.5069(0.0912)"
"7101_lkflag","0.3968(0.5663)","0.2346(0.1824)","0.3239(0.2428)","0.4392(0.1603)","0.438(0.1468)","0.4637(0.0775)"
"7102_rbf","0.166(0.1199)","0.1343(0.0862)","0.1469(0.0541)","0.1508(0.0514)","0.1466(0.026)","0.1585(0.0125)"
"7102_lkflag","0.1224(0.0584)","0.0959(0.0633)","0.1488(0.0413)","0.1501(0.0533)","0.1506(0.0285)","0.1718(0.0195)"
"8101_rbf","0.0029(0.005)","0.017(0.0269)","0.0303(0.0534)","0.0644(0.0344)","0.0394(0.0098)","0.0424(0.0145)"
"8101_lkflag","0.013(0.0334)","0.0185(0.0358)","0.0273(0.0383)","0.054(0.0273)","0.0336(0.0122)","0.0375(0.0132)"
"8102_rbf","0.0267(0.0428)","0.0255(0.0272)","0.034(0.0292)","0.04(0.0221)","0.0239(0.0064)","0.0314(0.0053)"
"8102_lkflag","0.0199(0.0268)","0.0204(0.0312)","0.0288(0.0229)","0.0344(0.0216)","0.0231(0.0052)","0.0306(0.0064)"
"8111_rbf","0.028(0.0239)","0.0743(0.0678)","0.0631(0.0793)","0.061(0.0425)","0.0565(0.0215)","0.0539(0.0101)"
"8111_lkflag","0.0183(0.0145)","0.043(0.0289)","0.0536(0.0606)","0.0489(0.0335)","0.0475(0.0155)","0.0453(0.0093)"
"8112_rbf","0.0245(0.0138)","0.0236(0.0106)","0.0236(0.0078)","0.0234(0.0044)","0.0215(0.003)","0.0253(0.002)"
"8112_lkflag","0.0133(0.0063)","0.0202(0.0084)","0.0212(0.0088)","0.0214(0.0041)","0.0193(0.0021)","0.0235(0.0021)"
"8121_rbf","0.0584(0.0495)","0.0776(0.048)","0.0631(0.0168)","0.0726(0.0153)","0.0673(0.0099)","0.0664(0.009)"
"8121_lkflag","0.0112(0.0116)","0.0649(0.0514)","0.0457(0.0218)","0.0619(0.0111)","0.0614(0.0104)","0.0601(0.0084)"
"8122_rbf","0.0519(0.0393)","0.0828(0.0457)","0.0916(0.0575)","0.0664(0.0238)","0.0837(0.0268)","0.0759(0.0067)"
"8122_lkflag","0.0252(0.0286)","0.0508(0.0208)","0.0664(0.0327)","0.0511(0.0182)","0.0647(0.0199)","0.0613(0.0043)"
"8201_rbf","0.0258(0.0163)","0.0298(0.0185)","0.0242(0.0042)","0.0278(0.0054)","0.0246(0.0028)","0.0254(0.0019)"
"8201_lkflag","0.0169(0.0111)","0.0232(0.0101)","0.0225(0.0065)","0.028(0.0051)","0.0257(0.0026)","0.0264(0.0025)"
"8202_rbf","0.0151(0.0119)","0.0193(0.0092)","0.0164(0.0066)","0.0149(0.0037)","0.0179(0.0027)","0.0163(0.001)"
"8202_lkflag","0.0141(0.0114)","0.0157(0.0096)","0.0174(0.006)","0.0159(0.0035)","0.0185(0.0024)","0.0179(0.0014)"
"8211_rbf","0.0369(0.031)","0.0292(0.038)","0.0272(0.0188)","0.0452(0.0168)","0.0409(0.0185)","0.0348(0.0074)"
"8211_lkflag","0.0143(0.0137)","0.0268(0.0228)","0.0227(0.0136)","0.04(0.0141)","0.0394(0.0191)","0.0332(0.0058)"
"8212_rbf","0.0661(0.0796)","0.1411(0.0866)","0.078(0.0497)","0.0961(0.032)","0.0896(0.0156)","0.0885(0.0103)"
"8212_lkflag","0.0363(0.0232)","0.0765(0.0447)","0.0491(0.0333)","0.0762(0.0246)","0.0699(0.0123)","0.0717(0.0106)"
"8301_rbf","0.04(0.0304)","0.0458(0.0203)","0.0468(0.017)","0.0453(0.0084)","0.0424(0.0041)","0.042(0.0033)"
"8301_lkflag","0.0244(0.019)","0.0309(0.0152)","0.0402(0.0112)","0.038(0.0085)","0.0379(0.0053)","0.038(0.0036)"
"8302_rbf","0.0318(0.0269)","0.0232(0.0155)","0.0279(0.015)","0.0266(0.0053)","0.0264(0.0048)","0.0274(0.0028)"
"8302_lkflag","0.0171(0.0137)","0.0179(0.0129)","0.0267(0.0167)","0.0227(0.0056)","0.0233(0.005)","0.0248(0.0022)"
