"","5000","10000","15000","20000","25000","30000"
"6212_lkflag","9e-04(3e-04)","0.0019(3e-04)","0.0021(2e-04)","0.0023(2e-04)","0.0025(3e-04)","0.0024(2e-04)"
"6221_rbf","0.0054(0.0019)","0.0047(0.001)","0.0033(0.001)","0.0029(6e-04)","0.0025(6e-04)","0.0022(4e-04)"
"6221_lkflag","0.0019(8e-04)","0.0039(8e-04)","0.0038(0.0012)","0.0042(5e-04)","0.0046(7e-04)","0.0048(7e-04)"
"6222_rbf","0.0041(0.0014)","0.0034(8e-04)","0.0033(8e-04)","0.0028(5e-04)","0.0026(6e-04)","0.0024(4e-04)"
"6222_lkflag","0.0014(5e-04)","0.0029(5e-04)","0.0034(8e-04)","0.0038(7e-04)","0.0037(4e-04)","0.0039(3e-04)"
"6301_rbf","0.0153(0.0025)","0.0144(0.0017)","0.0134(0.0012)","0.0121(0.0016)","0.0119(6e-04)","0.0111(0.0011)"
"6301_lkflag","0.004(0.0011)","0.0089(0.0013)","0.0086(0.0014)","0.0091(0.0011)","0.0101(8e-04)","0.0099(0.0011)"
"6302_rbf","0.0129(0.0037)","0.0123(0.0019)","0.0104(0.0013)","0.0108(0.0012)","0.0105(0.0011)","0.0103(6e-04)"
"6302_lkflag","0.0034(0.0012)","0.0058(7e-04)","0.0068(4e-04)","0.0074(6e-04)","0.008(7e-04)","0.0078(8e-04)"
"6401_rbf","0.0022(5e-04)","0.0019(5e-04)","0.0018(5e-04)","0.0019(5e-04)","0.0015(3e-04)","0.0016(2e-04)"
"6401_lkflag","0.0011(5e-04)","0.0018(4e-04)","0.0021(4e-04)","0.0025(4e-04)","0.0025(4e-04)","0.0025(2e-04)"
"6402_rbf","0.0012(3e-04)","0.0015(4e-04)","0.0013(3e-04)","0.001(3e-04)","0.001(3e-04)","0.001(3e-04)"
"6402_lkflag","7e-04(2e-04)","0.0012(3e-04)","0.0015(2e-04)","0.0016(3e-04)","0.0017(2e-04)","0.0018(1e-04)"
"7001_rbf","0.0167(0.0045)","0.0139(0.0031)","0.0134(0.0031)","0.0137(0.0029)","0.0121(0.0023)","0.0132(0.0025)"
"7001_lkflag","0.0098(0.0034)","0.0154(0.0033)","0.0199(0.0035)","0.0222(0.0028)","0.0222(0.0027)","0.025(0.0034)"
"7002_rbf","0.0258(0.0072)","0.0237(0.0058)","0.0229(0.0064)","0.0241(0.0043)","0.0187(0.0037)","0.0204(0.0026)"
"7002_lkflag","0.0096(0.0062)","0.018(0.0042)","0.0218(0.0037)","0.0246(0.0047)","0.0248(0.0029)","0.0268(0.0049)"
"7011_rbf","0.0164(0.0058)","0.0157(0.0029)","0.0137(0.0022)","0.0131(0.0025)","0.0121(0.0026)","0.012(0.0014)"
"7011_lkflag","0.0091(0.0057)","0.015(0.0027)","0.016(0.0035)","0.0181(0.003)","0.0182(0.0025)","0.0186(0.0032)"
"7012_rbf","0.0105(0.003)","0.0106(0.0018)","0.0103(0.0015)","0.0088(0.0017)","0.0093(0.002)","0.0083(0.0012)"
"7012_lkflag","0.0039(0.0017)","0.0103(0.0012)","0.0113(0.0022)","0.0127(0.0021)","0.0132(0.0016)","0.0136(0.0013)"
"7021_rbf","0.0067(0.0035)","0.0064(0.0033)","0.0049(0.0018)","0.0051(0.0023)","0.0059(0.001)","0.0051(8e-04)"
"7021_lkflag","0.0044(0.0037)","0.0072(0.0036)","0.0082(0.0019)","0.0092(0.0025)","0.0102(0.0022)","0.0114(0.0023)"
"7022_rbf","0.0098(0.0051)","0.0096(0.0044)","0.0078(0.0026)","0.0094(0.0033)","0.008(0.0029)","0.008(0.0022)"
"7022_lkflag","0.0036(0.0032)","0.0126(0.0074)","0.0145(0.0042)","0.016(0.0035)","0.0165(0.0032)","0.0171(0.0026)"
"7101_rbf","0.0158(0.0036)","0.0151(0.004)","0.0153(0.0039)","0.0123(0.0031)","0.0129(0.0031)","0.0124(0.0029)"
"7101_lkflag","0.0077(0.0016)","0.0132(0.0037)","0.019(0.004)","0.018(0.0033)","0.0201(0.0028)","0.0208(0.0027)"
"7102_rbf","0.0147(0.0052)","0.0125(0.0023)","0.0138(0.0017)","0.012(0.0027)","0.0125(0.0017)","0.0115(0.0014)"
"7102_lkflag","0.007(0.0039)","0.013(0.0033)","0.0174(0.0026)","0.0161(0.0017)","0.0167(0.002)","0.0178(0.0013)"
"8101_rbf","0.0076(0.005)","0.008(0.0026)","0.0074(0.0024)","0.0074(0.0019)","0.0067(0.0018)","0.0061(0.0014)"
"8101_lkflag","0.0057(0.0066)","0.0122(0.0053)","0.0146(0.0044)","0.0159(0.0035)","0.0163(0.0045)","0.016(0.0053)"
"8102_rbf","0.0031(0.002)","0.0027(0.001)","0.0027(9e-04)","0.0025(5e-04)","0.0022(6e-04)","0.0024(6e-04)"
"8102_lkflag","0.0018(0.0025)","0.0034(0.0013)","0.0043(0.001)","0.0042(9e-04)","0.0045(0.0011)","0.005(0.0011)"
"8111_rbf","0.0061(0.0011)","0.0061(0.0011)","0.0058(0.0011)","0.0052(5e-04)","0.0052(7e-04)","0.0051(8e-04)"
"8111_lkflag","0.002(4e-04)","0.0042(6e-04)","0.0047(7e-04)","0.0046(6e-04)","0.0048(5e-04)","0.0051(5e-04)"
"8112_rbf","0.0037(9e-04)","0.0033(6e-04)","0.003(7e-04)","0.003(4e-04)","0.0031(4e-04)","0.0028(3e-04)"
"8112_lkflag","0.0011(2e-04)","0.0021(4e-04)","0.0027(6e-04)","0.0025(3e-04)","0.0028(3e-04)","0.0028(4e-04)"
"8121_rbf","0.0074(0.0017)","0.0067(0.0024)","0.0067(0.0017)","0.007(0.0011)","0.0059(0.0014)","0.0063(9e-04)"
"8121_lkflag","0.0039(0.0012)","0.007(0.002)","0.0085(0.0012)","0.0098(0.0013)","0.0093(9e-04)","0.0096(0.0012)"
"8122_rbf","0.0079(0.0017)","0.0072(0.0018)","0.0067(0.0013)","0.006(0.0015)","0.0048(7e-04)","0.006(0.0013)"
