"","500","1000","2000","5000","10000","20000"
"6301_lkflag","0.0324(0.0203)","0.041(0.0132)","0.052(0.015)","0.063(0.0117)","0.057(0.0066)","0.0627(0.0038)"
"6302_rbf","0.0271(0.0145)","0.0337(0.0098)","0.0356(0.0127)","0.0391(0.0066)","0.0422(0.0063)","0.0393(0.0045)"
"6302_lkflag","0.0218(0.0121)","0.0308(0.0109)","0.0361(0.0079)","0.0422(0.0107)","0.0429(0.0046)","0.0413(0.004)"
"6401_rbf","0.0111(0.013)","0.0247(0.0196)","0.0195(0.0107)","0.0241(0.0066)","0.0293(0.0125)","0.0284(0.0077)"
"6401_lkflag","0.0074(0.0049)","0.0212(0.0148)","0.0247(0.0117)","0.0249(0.0067)","0.0285(0.0126)","0.0285(0.0065)"
"6402_rbf","0.013(0.0104)","0.0153(0.0119)","0.0171(0.0071)","0.0177(0.0062)","0.0185(0.0042)","0.0188(0.0031)"
"6402_lkflag","0.0048(0.0069)","0.0116(0.0076)","0.0159(0.0059)","0.0173(0.005)","0.0173(0.0026)","0.0167(0.0027)"
"7001_rbf","0.0215(0.0302)","0.0435(0.0292)","0.0446(0.0348)","0.0473(0.018)","0.0517(0.01)","0.0509(0.0065)"
"7001_lkflag","0.0147(0.0139)","0.033(0.023)","0.0382(0.0347)","0.0407(0.015)","0.047(0.0094)","0.0461(0.0064)"
"7002_rbf","0.0515(0.0581)","0.0426(0.0253)","0.0663(0.0247)","0.0583(0.0108)","0.0587(0.0093)","0.0564(0.0079)"
"7002_lkflag","0.0324(0.038)","0.0204(0.0154)","0.0639(0.0307)","0.0525(0.0115)","0.0534(0.011)","0.054(0.0075)"
"7011_rbf","0.0492(0.0297)","0.1164(0.085)","0.0885(0.0504)","0.0784(0.0164)","0.0859(0.0145)","0.0872(0.0088)"
"7011_lkflag","0.0435(0.0319)","0.0602(0.0509)","0.0707(0.0238)","0.0719(0.0134)","0.0843(0.015)","0.084(0.0085)"
"7012_rbf","0.0477(0.0377)","0.0593(0.046)","0.0436(0.0223)","0.0441(0.0127)","0.0488(0.0114)","0.0485(0.0069)"
"7012_lkflag","0.0284(0.0258)","0.0426(0.0324)","0.0396(0.0209)","0.0422(0.0126)","0.0468(0.0131)","0.0457(0.0068)"
"7021_rbf","0.0731(0.093)","0.0388(0.0456)","0.0778(0.0408)","0.0883(0.0194)","0.0973(0.0309)","0.08(0.0204)"
"7021_lkflag","0.1015(0.1598)","0.0587(0.1119)","0.0576(0.0365)","0.0795(0.0179)","0.0797(0.0244)","0.0634(0.0167)"
"7022_rbf","0.0262(0.0446)","0.0287(0.0385)","0.0361(0.0298)","0.0469(0.0267)","0.0692(0.0269)","0.0486(0.0133)"
